Disease trait	EFO term	EFO URI	Parent term	Parent URI
Clubfoot	familial clubfoot with or without associated lower limb anomalies	http://www.orpha.net/ORDO/Orphanet_199315	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Alcohol dependence or heroin dependence or methamphetamine dependence	metamphetamine dependence	http://www.ebi.ac.uk/efo/EFO_0004701	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Methamphetamine dependence	metamphetamine dependence	http://www.ebi.ac.uk/efo/EFO_0004701	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Hypothyroidism	hypothyroidism	http://www.ebi.ac.uk/efo/EFO_0004705	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Age at menopause	age at menopause	http://www.ebi.ac.uk/efo/EFO_0004704	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Aging traits	age at menopause	http://www.ebi.ac.uk/efo/EFO_0004704	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Femoral neck bone geometry and menarche (age at onset)	age at menopause	http://www.ebi.ac.uk/efo/EFO_0004704	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Menarche and menopause (age at onset)	age at menopause	http://www.ebi.ac.uk/efo/EFO_0004704	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Menopause (age at onset)	age at menopause	http://www.ebi.ac.uk/efo/EFO_0004704	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Bone mineral density (hip) and age at menarche	age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Bone mineral density (spine) and age at menarche	age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Early age at menarche	age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Late age at menarche	age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Lean body mass and age at menarche (combined)	age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Menarche (age at onset)	age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Menarche and menopause (age at onset)	age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Age at smoking initiation in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Airway responsiveness in chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Asthma or chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000341	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
