	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
0	GCST000237	Alzheimer's disease	Alzheimer's disease	Neurological disorder
1	GCST000244	Type 1 diabetes	Type 1 diabetes	Metabolic disorder
2	GCST000025	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
3	GCST000469	Obesity and osteoporosis	Obesity and osteoporosis	Other disease
4	GCST000469	Obesity and osteoporosis	Obesity and osteoporosis	Metabolic disorder
5	GCST000361	Hypertension	Hypertension	Cardiovascular disease
6	GCST000300	Triglycerides	Triglycerides	Lipid or lipoprotein measurement
7	GCST000038	Type 1 diabetes	Type 1 diabetes	Metabolic disorder
8	GCST000039	Crohn's disease	Crohn's disease	Digestive system disorder
9	GCST000046	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Neurological disorder
10	GCST000046	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Neurological disorder
11	GCST000056	Restless legs syndrome	Restless legs syndrome	Neurological disorder
12	GCST000383	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
13	GCST001366	Prion diseases	Prion diseases	Neurological disorder
14	GCST000621	C4b binding protein levels	C4b binding protein levels	Cardiovascular measurement
15	GCST000370	Arterial stiffness	Arterial stiffness	Cardiovascular measurement
16	GCST000059	HIV-1 viral setpoint	HIV-1 viral setpoint	Biological process
17	GCST000059	HIV-1 viral setpoint	HIV-1 viral setpoint	Other measurement
18	GCST000059	HIV-1 viral setpoint	HIV-1 viral setpoint	Other disease
19	GCST000219	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
20	GCST000623	Ulcerative colitis	Ulcerative colitis	Immune system disorder
21	GCST000639	Urinary bladder cancer	Urinary bladder cancer	Cancer
22	GCST001992	Vitiligo (non-segmental)	Vitiligo (non-segmental)	Immune system disorder
23	GCST000054	Type 1 diabetes	Type 1 diabetes	Metabolic disorder
24	GCST000535	Systemic sclerosis	Systemic sclerosis	Neurological disorder
25	GCST000645	Glaucoma	Glaucoma	Neurological disorder
26	GCST000055	Gallstone disease	Gallstone disease	Digestive system disorder
27	GCST000055	Gallstone disease	Gallstone disease	Digestive system disorder
28	GCST000823	Radiation response	Radiation response	Biological process
29	GCST000371	Tanning	Tanning	Other trait
30	GCST001033	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
31	GCST000942	Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	Other disease
32	GCST000942	Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	Other disease
33	GCST001373	Breast cancer (survival)	Breast cancer (survival)	Other measurement
34	GCST001373	Breast cancer (survival)	Breast cancer (survival)	Cancer
35	GCST001373	Breast cancer (survival)	Breast cancer (survival)	Cancer
36	GCST001373	Breast cancer (survival)	Breast cancer (survival)	Cancer
37	GCST001373	Breast cancer (survival)	Breast cancer (survival)	Other measurement
38	GCST001046	Obesity	Obesity	Other measurement
39	GCST001046	Obesity	Obesity	Metabolic disorder
40	GCST000786	Diabetic retinopathy	Diabetic retinopathy	Metabolic disorder
41	GCST000379	Stroke	Stroke	Cardiovascular disease
42	GCST000965	C-reactive protein levels	C-reactive protein levels	Inflammatory measurement
43	GCST001072	Blood pressure	Blood pressure	Other measurement
44	GCST001072	Blood pressure	Blood pressure	Other measurement
45	GCST001072	Blood pressure	Blood pressure	Other measurement
46	GCST001072	Blood pressure	Blood pressure	Other measurement
47	GCST001072	Blood pressure	Blood pressure	Cardiovascular measurement
48	GCST001074	Blood pressure	Blood pressure	Other measurement
49	GCST001074	Blood pressure	Blood pressure	Other measurement
50	GCST001074	Blood pressure	Blood pressure	Other measurement
51	GCST001074	Blood pressure	Blood pressure	Other measurement
52	GCST001074	Blood pressure	Blood pressure	Cardiovascular measurement
53	GCST000454	Bladder cancer	Bladder cancer	Cancer
54	GCST000638	Sudden cardiac arrest	Sudden cardiac arrest	Cardiovascular disease
55	GCST000649	Chronic kidney disease	Chronic kidney disease	Other disease
56	GCST000649	Chronic kidney disease	Chronic kidney disease	Other measurement
57	GCST000649	Chronic kidney disease	Chronic kidney disease	Other measurement
58	GCST000359	Chronic obstructive pulmonary disease	Chronic obstructive pulmonary disease	Other disease
59	GCST000465	Response to hepatitis C treatment	Response to hepatitis C treatment	Digestive system disorder
60	GCST000927	Response to metformin in type 2 diabetes (glycemic)	Response to metformin in type 2 diabetes (glycemic)	Response to drug
61	GCST000820	Amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis	Neurological disorder
62	GCST000356	Anti-cyclic Citrullinated Peptide Antibody	Anti-cyclic Citrullinated Peptide Antibody	Other measurement
63	GCST000932	Hoarding	Hoarding	Neurological disorder
64	GCST000312	Lp (a) levels	Lp (a) levels	Lipid or lipoprotein measurement
65	GCST000305	Mean platelet volume	Mean platelet volume	Hematological measurement
66	GCST000387	Bipolar disorder	Bipolar disorder	Neurological disorder
67	GCST000395	Systolic blood pressure	Systolic blood pressure	Other measurement
68	GCST000395	Systolic blood pressure	Systolic blood pressure	Other measurement
69	GCST000394	Diastolic blood pressure	Diastolic blood pressure	Other measurement
70	GCST000394	Diastolic blood pressure	Diastolic blood pressure	Other measurement
71	GCST000347	Bone mineral density	Bone mineral density	Other measurement
72	GCST000354	Venous thromboembolism	Venous thromboembolism	Cardiovascular disease
73	GCST000285	Cholesterol, total	Cholesterol, total	Lipid or lipoprotein measurement
74	GCST000282	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
75	GCST000282	LDL cholesterol	LDL cholesterol	Other measurement
76	GCST000282	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
77	GCST000289	Triglycerides	Triglycerides	Lipid or lipoprotein measurement
78	GCST000288	HDL cholesterol	HDL cholesterol	Lipid or lipoprotein measurement
79	GCST000221	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
80	GCST000576	Asthma	Asthma	Other disease
