Date	PUBMEDID	N	Cleaned Country
2005-09-09	16252231	541	United States
2005-09-09	16252231	141	United States
2005-09-09	16252231	1	United States
2005-09-09	16252231	122	United States
2005-09-09	16252231	1	United States
2005-09-09	16252231	744	United States
2006-04-14	16614226	866	United States
2006-04-30	16648850	200	Germany
2006-09-28	17052657	537	United States
2006-10-20	17053149	18	United States
2006-10-20	17053149	341	Switzerland
2006-12-05	17099884	920	United States
2006-12-05	17099884	740	United States
2007-01-16	17223258	673	Italy
2007-02-11	17293876	5511	France
2007-02-11	17293876	1275	France
2007-02-20	17362836	547	United States
2007-03-05	17447842	3109	Belgium
2007-03-20	17522711	322	United States
2007-04-01	17401366	4517	Iceland
2007-04-01	17401366	745	United States
2007-04-01	17474819	1086	United States
2007-04-01	17395743	207	United States
2007-04-03	17407593	454	United States
2007-04-12	17434869	10657	United Kingdom
2007-04-26	17463248	2335	Finland
2007-04-26	17463246	5217	Sweden
2007-04-26	17463249	9103	United Kingdom
2007-04-26	17460697	8686	Iceland
2007-04-26	17463249	4862	United Kingdom
2007-04-30	17470457	341	Switzerland
2007-04-30	17470457	472	Switzerland
2007-05-03	17478679	8335	Iceland
2007-05-03	17478681	634	Canada
2007-05-08	17486107	1024	United States
2007-05-08	17486107	1648	Germany
2007-05-15	17505501	26	Sweden
2007-05-27	17529973	896	United States
2007-05-27	17529967	754	United Kingdom
2007-05-27	17529974	1126	United States
2007-05-27	17529973	2352	United States
2007-05-27	17529974	840	United States
2007-05-27	17529974	441	United States
2007-05-27	17529974	870	United States
2007-05-27	17529974	13145	Iceland
2007-06-06	17554260	17991	United Kingdom
2007-06-06	17554261	3206	United Kingdom
2007-06-07	17554300	4686	United Kingdom
2007-06-07	17554300	4890	United Kingdom
2007-06-07	17554300	4798	United Kingdom
2007-06-07	17554300	4864	United Kingdom
2007-06-07	17554300	4806	United Kingdom
2007-06-07	17553421	675	United States
2007-06-07	17554300	4901	United Kingdom
2007-06-10	17558408	2200	United Kingdom
2007-06-26	17668382	5349	France
2007-07-01	17603472	5026	Iceland
2007-07-01	17603485	12791	Iceland
2007-07-08	17618283	2194	Canada
2007-07-08	17618284	12580	United Kingdom
2007-07-08	17618284	1890	United Kingdom
2007-07-15	17632509	640	Germany
2007-07-15	17632509	2868	Germany
2007-07-15	17632509	334	Chile
2007-07-18	17634449	2519	Germany
2007-07-18	17637780	2045	Germany
2007-07-18	17634449	4864	United Kingdom
2007-07-19	17634447	15970	Iceland
2007-07-20	17658951	968	United States
2007-07-20	17658951	1471	United States
2007-07-20	17658951	824	United States
2007-07-20	17658951	4741	Italy
2007-07-26	17611496	2320	Germany
2007-07-31	17667963	2054	United Kingdom
2007-07-31	17667963	1533	United Kingdom
2007-08-08	17684544	792	Germany
2007-08-09	17690259	397	Sweden
2007-08-09	17690259	14649	Iceland
2007-09-05	17804789	3141	Germany
2007-09-05	17804789	1146	Canada
2007-09-07	17827064	911	Netherlands
2007-09-10	17846125	895	United States
2007-09-10	17846124	561	United States
2007-09-10	17846125	2834	United States
2007-09-19	17903304	1341	United States
2007-09-19	17903304	1345	United States
2007-09-19	17903304	1345	United States
2007-09-19	17903302	1327	United States
2007-09-19	17903302	644	United States
2007-09-19	17903299	8100	United States
2007-10-08	17911428	165	United States
2007-10-14	17934461	13475	United Kingdom
2007-10-14	17934461	1890	United Kingdom
2007-10-15	17999355	737	United Kingdom
2007-10-15	17999355	231	United Kingdom
2007-10-21	17952075	2986	Netherlands
2007-10-21	17952075	2986	Iceland
2007-10-21	17952075	2986	Iceland
2007-10-21	17952075	2986	Iceland
2007-10-21	17952075	3932	Netherlands
2007-10-21	17952075	3932	Netherlands
2007-10-21	17952075	3932	Netherlands
2007-10-21	17952075	2986	Iceland
2007-10-21	17952075	3932	Netherlands
2007-10-21	17952075	2986	Iceland
2007-10-21	17952075	3932	Netherlands
2007-10-21	17952075	3932	Netherlands
2007-11-04	17982456	397	United States
2007-11-04	17982456	1707	Sweden
2007-11-04	17982456	1211	United States
2007-11-09	17997608	1301	Italy
2007-11-09	17997608	4305	Italy
2007-11-12	17998437	1489	Canada
2007-11-12	17998437	667	United Kingdom
2007-11-17	18075462	100	Japan
2007-11-17	18075462	311	Japan
2007-12-07	18057069	432	Ireland
2007-12-19	18073375	1603	United States
2007-12-19	18073375	556	United States
2007-12-26	18159244	929	Germany
2008-01-10	18179892	4955	United Kingdom
2008-01-10	18179892	4955	United Kingdom
2008-01-10	18179892	1955	United Kingdom
2008-01-10	18179892	1955	United Kingdom
2008-01-13	18193045	23684	Finland
2008-01-13	18193046	6827	United Kingdom
2008-01-13	18193045	3860	United States
2008-01-13	18193046	1005	United Kingdom
2008-01-13	18193046	2528	Mexico
2008-01-13	18193046	1006	United Kingdom
2008-01-13	18193046	1181	United Kingdom
2008-01-14	18195134	81	Spain
2008-01-20	18204098	1650	Sweden
2008-01-20	18204098	4651	United States
2008-01-20	18204446	3671	United States
2008-01-22	18067574	3195	United Kingdom
2008-01-22	18067574	860	United Kingdom
2008-01-24	18252221	6867	Netherlands
2008-01-24	18252221	1406	Netherlands
2008-01-29	18227835	7481	Switzerland
2008-02-09	18262040	4979	United Kingdom
2008-02-10	18264097	3748	United Kingdom
2008-02-10	18264098	23226	Iceland
2008-02-15	18282107	873	China
2008-02-15	18282107	2931	Israel
2008-02-15	18282107	4148	Israel
2008-03-02	18311140	2189	United Kingdom
2008-03-04	18317468	1943	United Kingdom
2008-03-05	18325910	3812	France
2008-03-05	18325910	1000	United States
2008-03-09	18327256	1644	Germany
2008-03-09	18327257	794	Croatia
2008-03-11	18326623	2359	United States
2008-03-11	18332876	2327	Bulgaria
2008-03-18	18347602	207	United States
2008-03-18	18347602	436	United States
2008-03-18	18347602	828	United States
2008-03-25	18360741	3529	United Kingdom
2008-03-25	18360741	838	United Kingdom
2008-03-25	18364390	606	United Kingdom
2008-03-30	18372901	3560	Israel
2008-03-30	18372901	7579	Japan
2008-03-30	18372905	1849	United Kingdom
2008-03-30	18372901	1983	United Kingdom
2008-03-30	18372905	1447	Netherlands
2008-04-03	18385738	794	Canada
2008-04-03	18385676	2291	United States
2008-04-03	18385739	10995	Iceland
2008-04-04	18369459	737	United States
2008-04-06	18391952	13665	United Kingdom
2008-04-06	18391951	8541	Denmark
2008-04-09	18403759	632	United States
2008-04-29	18455228	6463	United Kingdom
2008-04-29	18455228	2094	United Kingdom
2008-05-04	18454146	4561	United Kingdom
2008-05-04	18454146	2684	United Kingdom
2008-05-04	18454146	7394	United Kingdom
2008-05-08	18463975	6	United States
2008-05-08	18463975	2	United States
2008-05-08	18471798	642	United Kingdom
2008-05-09	18463370	3075	United States
2008-05-16	18483556	2287	United States
2008-05-16	18483556	2287	United States
2008-05-18	18488026	1728	Australia
2008-05-18	18488028	5130	Iceland
2008-05-18	18488026	2481	Australia
2008-05-18	18488028	3330	Netherlands
2008-06-01	18514160	4305	Italy
2008-06-05	18535201	374	United States
2008-06-05	18535201	181	United States
2008-06-19	18451265	654	France
2008-06-30	18591461	194	United States
2008-06-30	18591461	195	United States
2008-07-21	18723019	2408	Germany
2008-07-21	18723019	1174	Germany
2008-07-23	18650507	175	United Kingdom
2008-07-23	18650507	16664	United Kingdom
2008-07-30	18677311	2258	Israel
2008-07-30	18677311	3416	United Kingdom
2008-08-01	18668548	800	Spain
2008-08-01	18668548	804	Spain
2008-08-01	19165918	1341	United Kingdom
2008-08-17	18711366	9387	Denmark
2008-08-17	18711367	1691	Japan
2008-08-17	18711366	12361	Japan
2008-08-17	18711366	1752	Japan
2008-08-22	18846228	9769	Germany
2008-08-22	18846228	1530	Germany
2008-08-26	18729187	1004	Italy
2008-08-31	18758461	1943	United Kingdom
2008-08-31	18758461	2701	United Kingdom
2008-09-01	18762592	1880	Germany
2008-09-01	18762592	1227	United States
2008-09-01	18759275	868	United States
2008-09-07	18776911	1059	United States
2008-09-07	18776911	1658	United States
2008-09-08	18776929	1000	United States
2008-09-08	18776929	1216	United Kingdom
2008-09-17	18780872	413	United States
2008-09-18	18802019	2346	Micronesia, Federated States of
2008-09-28	18820697	785	United States
2008-09-28	18820697	611	Japan
2008-09-28	18820697	184	United States
2008-09-29	18823527	2321	United Kingdom
2008-10-01	18834626	3843	United States
2008-10-01	18835860	1093	Japan
2008-10-01	18834626	11847	Netherlands
2008-10-01	18834626	11024	United States
2008-10-01	18991354	12476	Iceland
2008-10-01	18835860	618	Japan
2008-10-07	18839057	593	Germany
2008-10-10	18940312	3669	United Kingdom
2008-10-10	18940312	1005	United Kingdom
2008-10-12	18849991	1125	Switzerland
2008-10-22	18941528	484	Spain
2008-11-02	18978787	5431	United Kingdom
2008-11-06	18985386	2246	United States
2008-11-09	18997785	2739	Sweden
2008-11-09	19009022	480	United States
2008-11-09	18997785	2825	Canada
2008-11-09	18997786	1171	Japan
2008-11-16	19011631	3831	United Kingdom
2008-11-23	19030899	618	China
2008-11-23	19030899	2953	China
2008-11-24	18957941	3972	Italy
2008-11-28	19043545	284	Germany
2008-12-01	19047183	130	Belgium
2008-12-03	19056611	4862	United Kingdom
2008-12-03	19056611	9103	United Kingdom
2008-12-07	19060910	4763	Finland
2008-12-07	19060910	4763	Finland
2008-12-07	19060910	4763	Finland
2008-12-07	19060909	2151	France
2008-12-09	19065144	3540	Netherlands
2008-12-11	19081515	3610	United Kingdom
2008-12-11	19081515	3200	United Kingdom
2008-12-14	19079260	1160	United States
2008-12-14	19079262	6865	Iceland
2008-12-14	19079262	6865	Iceland
2008-12-14	19079260	1160	United States
2008-12-14	19079260	11036	Denmark
2008-12-14	19079260	11036	Denmark
2008-12-17	19084217	918	Australia
2008-12-17	19084217	411	Australia
2008-12-24	19110211	1606	Germany
2008-12-29	19114657	6361	United States
2008-12-29	19114657	542	United States
2009-01-01	19115949	1627	France
2009-01-01	19116933	2678	United Kingdom
2009-01-01	19116933	463	United Kingdom
2009-01-03	19118814	458	United States
2009-01-03	19118814	988	United States
2009-01-07	19124843	357	United States
2009-01-07	19125160	970	Germany
2009-01-11	19136949	2099	United States
2009-01-11	19136949	2756	United States
2009-01-16	19148276	1075	Italy
2009-01-16	19148276	1076	United States
2009-01-18	19151717	30395	Iceland
2009-01-18	19151714	2796	France
2009-01-23	19165232	400	Japan
2009-01-25	19169255	2271	China
2009-01-25	19169255	13061	China
2009-01-29	19185284	1191	Italy
2009-01-30	19181680	3875	United Kingdom
2009-02-01	19260141	898	Croatia
2009-02-01	19260139	898	Croatia
2009-02-01	19182806	14830	Iceland
2009-02-01	19187332	347	Korea, South
2009-02-03	19188921	1251	United States
