EFO URI,STUDY ACCESSION,PUBMEDID,ASSOCIATION COUNT
http://www.ebi.ac.uk/efo/efo_0004695,GCST006394,30054594,106
http://www.ebi.ac.uk/efo/efo_0009270,GCST006433,30048462,1587
http://www.ebi.ac.uk/efo/efo_0009369,GCST006473,30049742,8
http://www.ebi.ac.uk/efo/efo_0004462,GCST007045,30046033,44
http://www.ebi.ac.uk/efo/efo_0007537,GCST006275,30079052,4
http://www.orpha.net/ordo/orphanet_388,GCST006272,30031151,0
http://www.orpha.net/ordo/orphanet_388,GCST006271,30031151,1
http://www.ebi.ac.uk/efo/efo_0000174,GCST006467,30093639,4
http://www.ebi.ac.uk/efo/efo_0000249,GCST008056,30201328,2
http://www.orpha.net/ordo/orphanet_683,GCST006418,30089514,13
http://www.orpha.net/ordo/orphanet_558,GCST006957,30087447,4
http://www.ebi.ac.uk/efo/efo_0004282,GCST006957,30087447,4
http://www.ebi.ac.uk/efo/efo_0004215,GCST006576,30087453,3
http://www.ebi.ac.uk/efo/efo_0004242,GCST006576,30087453,3
http://www.ebi.ac.uk/efo/efo_0010060,GCST008308,30092369,2
http://www.ebi.ac.uk/efo/efo_1001436,GCST006387,30099483,2
http://www.ebi.ac.uk/efo/efo_0007937,GCST006585,30072576,2961
http://www.ebi.ac.uk/efo/efo_0004321,GCST006428,30145303,22
http://www.ebi.ac.uk/efo/efo_0004320,GCST006429,30145303,25
http://www.ebi.ac.uk/efo/efo_0005423,GCST006287,30019117,1317
http://www.ebi.ac.uk/efo/efo_0003885,GCST006270,30013178,1
http://purl.obolibrary.org/obo/go_0035456,GCST006270,30013178,1
http://www.ebi.ac.uk/efo/efo_0004228,GCST006270,30013178,1
http://www.ebi.ac.uk/efo/efo_0009364,GCST006474,30013184,0
http://www.ebi.ac.uk/efo/efo_0005298,GCST006408,30013184,19
http://www.orpha.net/ordo/orphanet_98896,GCST006286,30014611,47
http://www.ebi.ac.uk/efo/efo_0008336,GCST006286,30014611,47
http://www.ebi.ac.uk/efo/efo_0004255,GCST006246,30012571,1
http://www.ebi.ac.uk/efo/efo_0009372,GCST006567,30009487,1
http://www.ebi.ac.uk/efo/efo_0000474,GCST006567,30009487,1
http://www.ebi.ac.uk/efo/efo_0005854,GCST006409,30013184,44
http://www.ebi.ac.uk/efo/efo_0000516,GCST006395,30054594,48
http://www.ebi.ac.uk/efo/efo_0004312,GCST006483,30061609,69
http://www.ebi.ac.uk/efo/efo_0000275,GCST006414,30061737,142
http://www.ebi.ac.uk/efo/efo_0004713,GCST006482,30061609,39
http://www.ebi.ac.uk/efo/efo_0008348,GCST006277,30054556,4
http://www.ebi.ac.uk/efo/efo_0004683,GCST006277,30054556,4
http://www.ebi.ac.uk/efo/efo_0004318,GCST006310,30068317,8
http://www.ebi.ac.uk/efo/efo_0004713,GCST006310,30068317,8
http://purl.obolibrary.org/obo/hp_0000175,GCST006415,30067744,6
http://www.ebi.ac.uk/efo/efo_0003959,GCST006415,30067744,6
http://www.ebi.ac.uk/efo/efo_0004237,GCST006278,30067105,2
http://www.ebi.ac.uk/efo/efo_0007838,GCST006278,30067105,2
http://www.ebi.ac.uk/efo/efo_0007845,GCST006407,30067744,2
http://www.ebi.ac.uk/efo/efo_0004318,GCST006309,30068317,8
http://www.ebi.ac.uk/efo/efo_0004314,GCST006309,30068317,8
http://www.orpha.net/ordo/orphanet_683,GCST006276,30066433,2
http://www.ebi.ac.uk/efo/efo_0004314,GCST006481,30061609,56
http://www.ebi.ac.uk/efo/efo_0003761,GCST006927,30104601,0
http://www.ebi.ac.uk/efo/efo_0009587,GCST006927,30104601,0
http://www.orpha.net/ordo/orphanet_30391,GCST006390,30102696,3
http://www.ebi.ac.uk/efo/efo_0001071,GCST006399,30104567,1
http://www.ebi.ac.uk/efo/efo_0003776,GCST006435,30103242,1
http://purl.obolibrary.org/obo/hp_0001873,GCST006435,30103242,1
http://www.ebi.ac.uk/efo/efo_0001071,GCST006398,30104567,25
http://www.ebi.ac.uk/efo/efo_0000483,GCST006857,30102679,2
http://www.ebi.ac.uk/efo/efo_0000483,GCST006858,30102679,3
http://www.ebi.ac.uk/efo/efo_0006527,GCST006400,30104567,1
http://www.ebi.ac.uk/efo/efo_0001071,GCST006400,30104567,1
http://www.ebi.ac.uk/efo/efo_0009363,GCST006416,30073298,7
http://www.ebi.ac.uk/efo/efo_0009368,GCST006417,30070759,43
http://www.ebi.ac.uk/efo/efo_0007292,GCST006836,30196823,0
http://www.ebi.ac.uk/efo/efo_0003761,GCST006477,29942085,82
http://www.ebi.ac.uk/efo/efo_0005111,GCST006137,29953918,17
http://www.ebi.ac.uk/efo/efo_0004337,GCST006250,29942086,524
http://www.ebi.ac.uk/efo/efo_0007660,GCST006476,29942085,371
http://www.ebi.ac.uk/efo/efo_0009589,GCST006478,29942085,147
http://www.ebi.ac.uk/efo/efo_0003761,GCST006475,29942085,157
http://www.ebi.ac.uk/efo/efo_0004247,GCST006475,29942085,157
http://www.ebi.ac.uk/efo/efo_0009583,GCST007422,29936532,0
http://www.ebi.ac.uk/efo/efo_0009583,GCST007421,29936532,0
http://www.ebi.ac.uk/efo/efo_0006816,GCST006144,29934777,3
http://purl.obolibrary.org/obo/hp_0001873,GCST006144,29934777,3
http://www.ebi.ac.uk/efo/efo_0003819,GCST006312,29931343,2
http://www.ebi.ac.uk/efo/efo_0005669,GCST006140,29915124,1
http://www.ebi.ac.uk/efo/efo_0005842,GCST006131,29917119,28
http://www.ebi.ac.uk/efo/efo_0004255,GCST006252,29903748,5
http://www.ebi.ac.uk/efo/efo_0000708,GCST006088,29924316,68
http://www.ebi.ac.uk/efo/efo_0006953,GCST006088,29924316,68
http://www.ebi.ac.uk/efo/efo_0000571,GCST006087,29924316,36
http://www.ebi.ac.uk/efo/efo_0006953,GCST006087,29924316,36
http://www.ebi.ac.uk/efo/efo_0001071,GCST006086,29924316,20
http://www.ebi.ac.uk/efo/efo_0006953,GCST006086,29924316,20
http://www.ebi.ac.uk/efo/efo_0005669,GCST006139,29915124,1
http://www.ebi.ac.uk/efo/efo_0007585,GCST006386,30003630,3
http://www.ebi.ac.uk/efo/efo_0004847,GCST006386,30003630,3
http://www.ebi.ac.uk/efo/efo_0000400,GCST006405,30003307,2
http://www.ebi.ac.uk/efo/efo_0000378,GCST006405,30003307,2
http://www.ebi.ac.uk/efo/efo_0003939,GCST006388,29988085,5
http://www.ebi.ac.uk/efo/efo_0000714,GCST008493,30289108,0
http://www.ebi.ac.uk/efo/efo_0001663,GCST008493,30289108,0
http://www.ebi.ac.uk/efo/efo_0003761,GCST006267,30034349,3
http://www.ebi.ac.uk/efo/efo_0005658,GCST006267,30034349,3
http://www.ebi.ac.uk/efo/efo_0003761,GCST006266,30034349,1
http://www.ebi.ac.uk/efo/efo_0005658,GCST006266,30034349,1
http://www.ebi.ac.uk/efo/efo_0008343,GCST008138,29981864,1
http://www.ebi.ac.uk/efo/efo_0005854,GCST008138,29981864,1
http://www.ebi.ac.uk/efo/efo_0009345,GCST006364,29975729,4
http://www.ebi.ac.uk/efo/efo_0004239,GCST006364,29975729,4
http://www.ebi.ac.uk/efo/efo_0000537,GCST006274,29973135,2
http://www.ebi.ac.uk/efo/efo_0006944,GCST006274,29973135,2
http://www.ebi.ac.uk/efo/efo_0006945,GCST006273,29973135,5
http://www.ebi.ac.uk/efo/efo_0000537,GCST006273,29973135,5
http://www.ebi.ac.uk/efo/efo_0005842,GCST006411,29942513,17
http://www.ebi.ac.uk/efo/efo_0009361,GCST006411,29942513,17
http://www.ebi.ac.uk/efo/efo_0008002,GCST006099,29899525,5
http://www.ebi.ac.uk/efo/efo_0008002,GCST006100,29899525,8
http://www.ebi.ac.uk/efo/efo_0008002,GCST006098,29899525,9
http://www.ebi.ac.uk/efo/efo_0008002,GCST006097,29899525,13
http://www.ebi.ac.uk/efo/efo_0008002,GCST006079,29899525,2
http://www.ebi.ac.uk/efo/efo_0004847,GCST006260,29967481,2
http://www.ebi.ac.uk/efo/efo_0002690,GCST006260,29967481,2
http://www.ebi.ac.uk/efo/efo_0004465,GCST006257,30004843,5
http://www.ebi.ac.uk/efo/efo_0009332,GCST006406,30134085,5
http://www.ebi.ac.uk/efo/efo_0004340,GCST006369,30045251,10
http://www.ebi.ac.uk/efo/efo_0004246,GCST006809,30304924,0
http://www.ebi.ac.uk/efo/efo_0006794,GCST006279,29959729,6
http://www.ebi.ac.uk/efo/efo_0009323,GCST006279,29959729,6
http://www.ebi.ac.uk/efo/efo_0009586,GCST006939,30065583,0
http://www.ebi.ac.uk/efo/efo_0004357,GCST006684,29947131,8
http://www.ebi.ac.uk/efo/efo_0001071,GCST006413,29971594,3
http://www.ebi.ac.uk/efo/efo_0009370,GCST006413,29971594,3
http://www.ebi.ac.uk/efo/efo_0003819,GCST006311,29931343,1
http://www.ebi.ac.uk/efo/efo_0006859,GCST005934,29884837,4
