Date,PUBMEDID,N,Cleaned Country
2005-03-10,15761122,146,NR
2005-09-09,16252231,744,U.S.
2005-09-09,16252231,141,U.S.
2005-09-09,16252231,1,U.S.
2005-09-09,16252231,541,U.S.
2005-09-09,16252231,122,U.S.
2005-09-09,16252231,1,U.S.
2006-04-14,16614226,866,U.S.
2006-04-14,16614226,694,NR
2006-04-14,16614226,229,NR
2006-04-30,16648850,200,Germany
2006-09-28,17052657,537,U.S.
2006-10-20,17053149,18,U.S.
2006-10-20,17053149,341,Switzerland
2006-12-05,17099884,740,U.S.
2006-12-05,17099884,920,U.S.
2007-01-16,17223258,673,Italy
2007-01-16,17223258,621,NR
2007-02-11,17293876,5511,France
2007-02-11,17293876,1275,France
2007-02-20,17362836,547,U.S.
2007-03-05,17447842,3109,Belgium
2007-03-20,17522711,322,U.S.
2007-04-01,17401366,4517,Iceland
2007-04-01,17474819,1086,U.S.
2007-04-01,17395743,207,U.S.
2007-04-01,17401366,745,U.S.
2007-04-01,17401363,2329,NR
2007-04-03,17407593,454,U.S.
2007-04-12,17434869,10657,U.K.
2007-04-26,17463249,9103,U.K.
2007-04-26,17463249,4862,U.K.
2007-04-26,17463246,18219,NR
2007-04-26,17463248,2473,NR
2007-04-26,17463248,2335,Finland
2007-04-26,17460697,8686,Iceland
2007-04-26,17463246,5217,Sweden
2007-04-30,17470457,341,Switzerland
2007-04-30,17470457,472,Switzerland
2007-05-03,17478681,634,Canada
2007-05-03,17478679,8335,Iceland
2007-05-06,17434096,517,NR
2007-05-08,17486107,1024,U.S.
2007-05-08,17486107,1648,Germany
2007-05-15,17505501,204,NR
2007-05-15,17505501,26,Sweden
2007-05-27,17529974,13145,Iceland
2007-05-27,17529973,2287,NR
2007-05-27,17529973,2352,U.S.
2007-05-27,17529973,896,U.S.
2007-05-27,17529974,1126,U.S.
2007-05-27,17529974,870,U.S.
2007-05-27,17529974,840,U.S.
2007-05-27,17529974,441,U.S.
2007-05-27,17529967,754,U.K.
2007-06-06,17554261,3206,U.K.
2007-06-06,17554260,5000,NR
2007-06-06,17554260,17991,U.K.
2007-06-06,17554261,4686,NR
2007-06-07,17554300,4890,U.K.
2007-06-07,17553421,675,U.S.
2007-06-07,17554300,4901,U.K.
2007-06-07,17554300,4806,U.K.
2007-06-07,17554300,4864,U.K.
2007-06-07,17554300,4798,U.K.
2007-06-07,17553421,736,NR
2007-06-07,17554300,4686,U.K.
2007-06-10,17558408,2200,U.K.
2007-06-26,17668382,5349,France
2007-07-01,17603485,12791,Iceland
2007-07-01,17603472,5026,Iceland
2007-07-08,17618284,1890,U.K.
2007-07-08,17618283,2194,Canada
2007-07-08,17618284,12580,U.K.
2007-07-15,17632509,334,Chile
2007-07-15,17632509,640,Germany
2007-07-15,17632509,2868,Germany
2007-07-18,17634449,4864,U.K.
2007-07-18,17637780,2045,Germany
2007-07-18,17634449,2519,Germany
2007-07-19,17634447,15970,Iceland
2007-07-20,17658951,4741,Italy
2007-07-20,17658951,824,U.S.
2007-07-20,17658951,1471,U.S.
2007-07-20,17658951,968,U.S.
2007-07-26,17611496,2320,Germany
2007-07-31,17667963,1533,U.K.
2007-07-31,17667963,2054,U.K.
2007-08-01,17653210,188,NR
2007-08-01,17671248,87,NR
2007-08-01,17671248,192,NR
2007-08-01,17671248,3,NR
2007-08-01,17671248,3,NR
2007-08-01,17671248,8,NR
2007-08-01,17671248,35,NR
2007-08-01,17671248,928,NR
2007-08-01,17671248,438,NR
2007-08-08,17684544,792,Germany
2007-08-09,17690259,397,Sweden
2007-08-09,17690259,14649,Iceland
2007-09-02,17767159,90,NR
2007-09-02,17767159,179,NR
2007-09-05,17804789,3141,Germany
2007-09-05,17804789,1146,Canada
2007-09-07,17827064,911,Netherlands
2007-09-10,17848626,1087,NR
2007-09-10,17848626,4815,NR
2007-09-10,17846124,561,U.S.
2007-09-10,17846124,1506,NR
2007-09-10,17848626,603,NR
2007-09-10,17846126,419,NR
2007-09-10,17846126,603,NR
2007-09-10,17846126,634,NR
2007-09-10,17846126,3022,NR
