STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST008673,Finnish,24776
GCST008490,European,117900
GCST008487,Japanese,5975
GCST008668,African American,19
GCST008668,African American,50
GCST008645,Han Chinese,146
GCST008645,Han Chinese,1045
GCST008645,Han Chinese,763
GCST008645,Han Chinese,1904
GCST008747,European,567401
GCST008747,East Asian,165726
GCST008747,South Asian,13359
GCST008747,African American,13842
GCST008747,Hispanic,4961
GCST008736,European,1552
GCST008736,African American,315
GCST008735,European,1552
GCST008735,African American,315
GCST008751,European,9291
GCST008752,European,670
GCST008752,European,5626
GCST008753,Finnish,107
GCST008753,Finnish,865
GCST008547,European,10061
GCST008548,European,7010
GCST008460,Japanese,1915
GCST008460,Japanese,2146
GCST008474,European,5117
GCST008474,European,389291
GCST008461,European,1156
GCST008462,European,1156
GCST008463,South African Zulu,1602
GCST008463,South African Zulu,976
GCST008598,European,2557
GCST008598,European,4987
GCST008599,European,1911
GCST008599,European,4987
GCST008646,Chinese,7035
GCST008646,Chinese,8323
GCST008225,European,1399
GCST008225,European,1575
GCST008226,European,2261
GCST008226,European,5852
GCST008224,European,2261
GCST008224,European,5852
GCST008224,European,1399
GCST008224,European,1575
GCST008172,European,1513
GCST008398,Hispanic/Latino,4777
GCST008276,European,2384
GCST008445,Mexican,3693
GCST008277,European,2384
GCST008377,Han Chinese,1378
GCST008377,Han Chinese,3774
GCST008223,European,791
GCST008223,European,158
GCST008223,African American,1345
GCST008380,Japanese,538
GCST008423,European,12111
GCST008423,European,138477
GCST008423,African,247
GCST008423,African,713
GCST008291,European,1921
GCST008291,African American,1299
GCST008291,European,3131
GCST008291,African American,1640
GCST008290,European,1022
GCST008290,African American,1255
GCST008290,European,4031
GCST008290,African American,1685
GCST008289,European,520
GCST008289,African American,1416
GCST008289,European,4533
GCST008289,African American,1524
GCST008288,European,2021
GCST008288,African American,1836
GCST008288,European,3032
GCST008288,African American,1104
GCST008287,European,3129
GCST008287,African American,2032
GCST008287,European,1921
