BROAD ANCESTRAL	Broader
African	African
African American or Afro-Caribbean	African American or Afro-Caribbean
African American or Afro-Caribbean, African unspecified	Other/Mixed
African American or Afro-Caribbean, African unspecified, Other	Other/Mixed
African American or Afro-Caribbean, Asian unspecified	Other/Mixed
African American or Afro-Caribbean, Asian unspecified, Other	Other/Mixed
African American or Afro-Caribbean, European	Other/Mixed
African American or Afro-Caribbean, European, Asian unspecified, Other	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Asian unspecified	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Asian unspecified, Native American, Other	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, Asian unspecified, Native American, Other	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, Asian unspecified, Other	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Oceanian, East Asian	Other/Mixed
African American or Afro-Caribbean, European, Hispanic or Latin American, Other	Other/Mixed
African American or Afro-Caribbean, European, Other	Other/Mixed
African American or Afro-Caribbean, Hispanic or Latin American, Asian unspecified, Native American	Other/Mixed
African American or Afro-Caribbean, Hispanic or Latin American, NR	Other/Mixed
African American or Afro-Caribbean, Hispanic or Latin American, Other	Other/Mixed
African American or Afro-Caribbean, Other	Other/Mixed
African American or Afro-Caribbean, South Asian, European	Other/Mixed
African American or Afro-Caribbean, South Asian, European, East Asian	Other/Mixed
African American or Afro-Caribbean, South Asian, European, East Asian, Hispanic or Latin American	Other/Mixed
African American or Afro-Caribbean, South Asian, European, East Asian, Other, Hispanic or Latin American	Other/Mixed
African American or Afro-Caribbean, South East Asian, Hispanic or Latin American, Other	Other/Mixed
African unspecified	African
African unspecified, Asian unspecified	Other/Mixed
African unspecified, Hispanic or Latin American	Other/Mixed
African unspecified, NR	In Part Not Recorded
African, African unspecified	African
African, African unspecified, Other	Other/Mixed
African, Asian unspecified	Other/Mixed
African, Asian unspecified, Other	Other/Mixed
African, European	Other/Mixed
African, European, Asian unspecified, Other	Other/Mixed
African, European, Hispanic or Latin American	Other/Mixed
African, European, Hispanic or Latin American, Asian unspecified	Other/Mixed
African, European, Hispanic or Latin American, Asian unspecified, Native American, Other	Other/Mixed
African, European, Hispanic or Latin American, Oceanian, Asian unspecified, Native American, Other	Other/Mixed
African, European, Hispanic or Latin American, Oceanian, Asian unspecified, Other	Other/Mixed
African, European, Hispanic or Latin American, Oceanian, East Asian	Other/Mixed
African, European, Hispanic or Latin American, Other	Other/Mixed
African, European, Other	Other/Mixed
African, Hispanic or Latin American, Asian unspecified, Native American	Other/Mixed
African, Hispanic or Latin American, NR	In Part Not Recorded
African, Hispanic or Latin American, Other	Other/Mixed
African, Other	Other/Mixed
African, South Asian, European	Other/Mixed
African, South Asian, European, East Asian	Other/Mixed
African, South Asian, European, East Asian, Hispanic or Latin American	Other/Mixed
African, South Asian, European, East Asian, Other, Hispanic or Latin American	Other/Mixed
African, South East Asian, Hispanic or Latin American, Other	Other/Mixed
Asian unspecified	Asian
Asian unspecified, African American or Afro-Caribbean, Native American, Otheradmixed ancestry	Other/Mixed
Asian unspecified, African, Native American, Otheradmixed ancestry	Other/Mixed
Asian unspecified, Native American, Other	Other/Mixed
Central Asian	Asian
East Asian	Asian
East Asian, Asian unspecified	Asian
East Asian, Asian unspecified, Other	Asian
East Asian, Other	Asian
European	European
European, African unspecified	Other/Mixed
European, African unspecified, Other	Other/Mixed
European, Asian unspecified	Other/Mixed
European, Asian unspecified, Other	Other/Mixed
European, East Asian	Other/Mixed
European, East Asian, Hispanic or Latin American	Other/Mixed
European, East Asian, Other, Otheradmixed ancestry	Other/Mixed
European, Greater Middle Eastern (Middle Eastern, North African or Persian)	Other/Mixed
European, Hispanic or Latin American	Other/Mixed
European, Hispanic or Latin American, African unspecified	Other/Mixed
European, Hispanic or Latin American, African unspecified, Asian unspecified	Other/Mixed
European, Hispanic or Latin American, African unspecified, Asian unspecified, Native American, Other	Other/Mixed
