,Other disease,Other trait,Other measurement,Biological process,Immune system disorder,Cardiovascular disease,Neurological disorder,Digestive system disorder,Response to drug,Cardiovascular measurement,Metabolic disorder,Cancer,NR,Inflammatory measurement,Liver enzyme measurement,Lipid or lipoprotein measurement,Hematological measurement,Body measurement,Year
Asian,0.0,0.0,6622.0,0.0,0.0,1171.0,5293.0,25534.0,0.0,0.0,0.0,8197.0,0.0,0.0,3669.0,8575.0,0.0,10347.0,2008
European,11268.0,68524.0,456277.0,3195.0,88200.0,23919.0,51463.0,158804.0,17119.0,8369.0,30444.0,163746.0,6797.0,10836.0,5595.0,194435.0,14183.0,259638.0,2008
African,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
African American or Afro-Caribbean,0.0,0.0,8851.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,3843.0,0.0,0.0,0.0,0.0,0.0,0.0,5008.0,2008
Hispanic or Latin American,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008
Other/Mixed,0.0,0.0,575.0,0.0,0.0,0.0,4958.0,0.0,104.0,575.0,0.0,6471.0,0.0,0.0,0.0,3226.0,0.0,0.0,2008
Asian,857.0,7491.0,56889.0,0.0,24736.0,10696.0,11216.0,18123.0,0.0,7861.0,16686.0,17508.0,174.0,0.0,0.0,1810.0,12452.0,15722.0,2009
European,43524.0,2727.0,491391.0,19076.0,73337.0,134590.0,128836.0,52105.0,6140.0,56939.0,129590.0,285259.0,1140.0,4551.0,1202.0,3332.0,127342.0,19857.0,2009
African,0.0,0.0,908.0,0.0,0.0,980.0,0.0,3463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,2009
African American or Afro-Caribbean,14181.0,0.0,1251.0,1251.0,0.0,3648.0,277.0,0.0,83.0,1550.0,0.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,2009
Hispanic or Latin American,2307.0,1775.0,2306.0,961.0,0.0,0.0,0.0,0.0,0.0,961.0,961.0,0.0,0.0,961.0,961.0,961.0,0.0,961.0,2009
Other/Mixed,1776.0,0.0,249.0,249.0,5486.0,1861.0,8078.0,0.0,1686.0,4.0,0.0,38816.0,0.0,13615.0,0.0,0.0,0.0,0.0,2009
Asian,21342.0,6665.0,21741.0,0.0,52330.0,43227.0,6385.0,25805.0,1166.0,6243.0,2240.0,85528.0,214.0,2742.0,0.0,31235.0,2055.0,2240.0,2010
European,216120.0,112868.0,1030594.0,183931.0,83291.0,119584.0,104286.0,231608.0,4549.0,22892.0,40925.0,238915.0,0.0,953.0,0.0,125518.0,16584.0,334893.0,2010
African,0.0,0.0,6313.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,6066.0,0.0,0.0,0.0,0.0,0.0,2010
African American or Afro-Caribbean,728.0,0.0,5899.0,840.0,280.0,0.0,0.0,1399.0,0.0,0.0,1399.0,0.0,0.0,0.0,0.0,0.0,0.0,4175.0,2010
Hispanic or Latin American,34.0,0.0,961.0,0.0,85.0,0.0,0.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
Other/Mixed,10936.0,1769.0,1973.0,0.0,3182.0,19611.0,3065.0,22086.0,5.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,2494.0,2010
Asian,95391.0,57049.0,103317.0,6779.0,60011.0,25016.0,46861.0,93702.0,2386.0,91925.0,0.0,89479.0,0.0,20765.0,60790.0,92681.0,20765.0,0.0,2011
European,170052.0,40829.0,713651.0,54435.0,97041.0,418935.0,367380.0,18419.0,4935.0,197452.0,86661.0,245721.0,17698.0,53500.0,2114.0,14207.0,69008.0,31782.0,2011
African,0.0,0.0,3091.0,0.0,0.0,0.0,0.0,0.0,59.0,1188.0,0.0,2016.0,47.0,425.0,0.0,1478.0,0.0,0.0,2011
African American or Afro-Caribbean,3626.0,989.0,59959.0,1366.0,0.0,13259.0,3118.0,2159.0,0.0,12716.0,1996.0,3818.0,0.0,0.0,0.0,8112.0,0.0,40969.0,2011
Hispanic or Latin American,6576.0,0.0,7480.0,0.0,0.0,0.0,418.0,1310.0,0.0,0.0,0.0,0.0,0.0,3551.0,0.0,1443.0,3551.0,0.0,2011
Other/Mixed,556.0,717.0,20911.0,717.0,405.0,687.0,639.0,0.0,31.0,687.0,0.0,60653.0,0.0,0.0,0.0,11163.0,0.0,2133.0,2011
Asian,58772.0,5988.0,153228.0,29460.0,132937.0,37972.0,1463.0,110336.0,806.0,19030.0,3015.0,190174.0,6822.0,0.0,0.0,0.0,3782.0,90958.0,2012
European,148062.0,125502.0,567026.0,4326.0,128711.0,205406.0,150092.0,240330.0,13164.0,10896.0,49270.0,282083.0,30505.0,7048.0,0.0,19163.0,73868.0,194057.0,2012
African,0.0,570.0,7748.0,0.0,606.0,0.0,0.0,5755.0,0.0,0.0,0.0,0.0,7178.0,486.0,0.0,0.0,0.0,0.0,2012
African American or Afro-Caribbean,0.0,22.0,9153.0,0.0,0.0,0.0,2070.0,6607.0,311.0,0.0,0.0,17456.0,1594.0,3787.0,0.0,0.0,0.0,0.0,2012
Hispanic or Latin American,2400.0,0.0,5180.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,1464.0,1422.0,3548.0,0.0,0.0,0.0,0.0,2012
Other/Mixed,570.0,0.0,25769.0,756.0,372.0,4974.0,1314.0,0.0,2427.0,0.0,98080.0,1497.0,0.0,0.0,0.0,0.0,0.0,762.0,2012
Asian,72231.0,13475.0,149788.0,25569.0,54086.0,16520.0,18026.0,229413.0,2035.0,52589.0,0.0,55846.0,0.0,0.0,8830.0,19292.0,18293.0,4621.0,2013
European,134125.0,220879.0,786835.0,139022.0,87960.0,64352.0,177757.0,116611.0,7880.0,202683.0,138115.0,493920.0,38239.0,0.0,828.0,382004.0,85606.0,321172.0,2013
African,0.0,0.0,15524.0,0.0,0.0,0.0,0.0,0.0,6.0,6497.0,0.0,0.0,0.0,0.0,0.0,4420.0,0.0,4607.0,2013
African American or Afro-Caribbean,156.0,2497.0,52411.0,237.0,0.0,2497.0,5995.0,4514.0,2548.0,5266.0,0.0,13706.0,0.0,0.0,0.0,21414.0,18526.0,45294.0,2013
Hispanic or Latin American,727.0,2027.0,1566.0,380.0,0.0,2027.0,0.0,1728.0,1187.0,0.0,2706.0,2467.0,0.0,0.0,0.0,4242.0,1447.0,921.0,2013
Other/Mixed,68.0,16470.0,573.0,1966.0,5177.0,76.0,0.0,10911.0,77.0,0.0,0.0,16889.0,1008.0,0.0,0.0,0.0,0.0,0.0,2013
Asian,32202.0,358.0,350817.0,1031.0,7033.0,111307.0,3496.0,2063.0,3776.0,58591.0,2419.0,131296.0,4255.0,1376.0,0.0,669.0,21844.0,113201.0,2014
European,72876.0,51799.0,872487.0,64129.0,47135.0,49266.0,132238.0,133696.0,27760.0,168002.0,34816.0,328516.0,19080.0,6526.0,0.0,41623.0,26104.0,101458.0,2014
African,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,2014
African American or Afro-Caribbean,0.0,0.0,28979.0,12520.0,0.0,1083.0,6348.0,11544.0,357.0,0.0,0.0,1085.0,0.0,0.0,0.0,1082.0,173.0,0.0,2014
Hispanic or Latin American,0.0,0.0,1567.0,0.0,0.0,794.0,0.0,0.0,0.0,264.0,0.0,7149.0,0.0,0.0,0.0,18708.0,0.0,0.0,2014
Other/Mixed,20912.0,0.0,5071.0,363.0,0.0,48.0,0.0,0.0,0.0,0.0,2889.0,3992.0,30.0,0.0,0.0,0.0,0.0,883.0,2014
Asian,66594.0,38764.0,272305.0,1737.0,55728.0,109739.0,45808.0,40911.0,4447.0,65802.0,10525.0,76088.0,0.0,0.0,114.0,58956.0,0.0,34267.0,2015
European,155848.0,1413098.0,971806.0,50078.0,508595.0,1132110.0,32369.0,99479.0,36410.0,69379.0,3938.0,440944.0,64104.0,0.0,811.0,16697.0,4131.0,553911.0,2015
