section,metric,value,year,stage,ancestry,entity_type,entity,era,snapshot
annual_growth,Publications,2.0,2005.0,,,,,,
annual_growth,Accessions,2.0,2005.0,,,,,,
annual_growth,Discovery participant instances,1032.0,2005.0,,,,,,
annual_growth,Replication participant instances,664.0,2005.0,,,,,,
annual_growth,Cumulative publications,2.0,2005.0,,,,,,
annual_growth,Cumulative accessions,2.0,2005.0,,,,,,
annual_growth,Publications,8.0,2006.0,,,,,,
annual_growth,Accessions,8.0,2006.0,,,,,,
annual_growth,Discovery participant instances,5701.0,2006.0,,,,,,
annual_growth,Replication participant instances,19718.0,2006.0,,,,,,
annual_growth,Cumulative publications,10.0,2006.0,,,,,,
annual_growth,Cumulative accessions,10.0,2006.0,,,,,,
annual_growth,Publications,89.0,2007.0,,,,,,
annual_growth,Accessions,122.0,2007.0,,,,,,
annual_growth,Discovery participant instances,293605.0,2007.0,,,,,,
annual_growth,Replication participant instances,446900.0,2007.0,,,,,,
annual_growth,Cumulative publications,99.0,2007.0,,,,,,
annual_growth,Cumulative accessions,132.0,2007.0,,,,,,
annual_growth,Publications,147.0,2008.0,,,,,,
annual_growth,Accessions,177.0,2008.0,,,,,,
annual_growth,Discovery participant instances,1027139.0,2008.0,,,,,,
annual_growth,Replication participant instances,1291934.0,2008.0,,,,,,
annual_growth,Cumulative publications,246.0,2008.0,,,,,,
annual_growth,Cumulative accessions,309.0,2008.0,,,,,,
annual_growth,Publications,237.0,2009.0,,,,,,
annual_growth,Accessions,268.0,2009.0,,,,,,
annual_growth,Discovery participant instances,1688806.0,2009.0,,,,,,
annual_growth,Replication participant instances,1853362.0,2009.0,,,,,,
annual_growth,Cumulative publications,483.0,2009.0,,,,,,
annual_growth,Cumulative accessions,577.0,2009.0,,,,,,
annual_growth,Publications,330.0,2010.0,,,,,,
annual_growth,Accessions,389.0,2010.0,,,,,,
annual_growth,Discovery participant instances,3186012.0,2010.0,,,,,,
annual_growth,Replication participant instances,2708076.0,2010.0,,,,,,
annual_growth,Cumulative publications,813.0,2010.0,,,,,,
annual_growth,Cumulative accessions,966.0,2010.0,,,,,,
annual_growth,Publications,394.0,2011.0,,,,,,
annual_growth,Accessions,443.0,2011.0,,,,,,
annual_growth,Discovery participant instances,3481564.0,2011.0,,,,,,
annual_growth,Replication participant instances,3189514.0,2011.0,,,,,,
annual_growth,Cumulative publications,1207.0,2011.0,,,,,,
annual_growth,Cumulative accessions,1409.0,2011.0,,,,,,
annual_growth,Publications,393.0,2012.0,,,,,,
annual_growth,Accessions,465.0,2012.0,,,,,,
annual_growth,Discovery participant instances,4109938.0,2012.0,,,,,,
annual_growth,Replication participant instances,2912638.0,2012.0,,,,,,
annual_growth,Cumulative publications,1600.0,2012.0,,,,,,
annual_growth,Cumulative accessions,1874.0,2012.0,,,,,,
annual_growth,Publications,394.0,2013.0,,,,,,
annual_growth,Accessions,561.0,2013.0,,,,,,
annual_growth,Discovery participant instances,5680692.0,2013.0,,,,,,
annual_growth,Replication participant instances,3643207.0,2013.0,,,,,,
annual_growth,Cumulative publications,1994.0,2013.0,,,,,,
annual_growth,Cumulative accessions,2435.0,2013.0,,,,,,
annual_growth,Publications,352.0,2014.0,,,,,,
annual_growth,Accessions,1023.0,2014.0,,,,,,
annual_growth,Discovery participant instances,7982467.0,2014.0,,,,,,
annual_growth,Replication participant instances,2908755.0,2014.0,,,,,,
annual_growth,Cumulative publications,2346.0,2014.0,,,,,,
annual_growth,Cumulative accessions,3458.0,2014.0,,,,,,
annual_growth,Publications,365.0,2015.0,,,,,,
annual_growth,Accessions,800.0,2015.0,,,,,,
annual_growth,Discovery participant instances,13338371.0,2015.0,,,,,,
annual_growth,Replication participant instances,5630300.0,2015.0,,,,,,
annual_growth,Cumulative publications,2711.0,2015.0,,,,,,
annual_growth,Cumulative accessions,4258.0,2015.0,,,,,,
annual_growth,Publications,355.0,2016.0,,,,,,
annual_growth,Accessions,1101.0,2016.0,,,,,,
annual_growth,Discovery participant instances,34359209.0,2016.0,,,,,,
annual_growth,Replication participant instances,7647511.0,2016.0,,,,,,
annual_growth,Cumulative publications,3066.0,2016.0,,,,,,
annual_growth,Cumulative accessions,5359.0,2016.0,,,,,,
annual_growth,Publications,444.0,2017.0,,,,,,
annual_growth,Accessions,2450.0,2017.0,,,,,,
annual_growth,Discovery participant instances,39818989.0,2017.0,,,,,,
annual_growth,Replication participant instances,15872442.0,2017.0,,,,,,
annual_growth,Cumulative publications,3510.0,2017.0,,,,,,
annual_growth,Cumulative accessions,7809.0,2017.0,,,,,,
annual_growth,Publications,555.0,2018.0,,,,,,
annual_growth,Accessions,6269.0,2018.0,,,,,,
annual_growth,Discovery participant instances,703821372.0,2018.0,,,,,,
annual_growth,Replication participant instances,26104347.0,2018.0,,,,,,
annual_growth,Cumulative publications,4065.0,2018.0,,,,,,
annual_growth,Cumulative accessions,14078.0,2018.0,,,,,,
annual_growth,Publications,568.0,2019.0,,,,,,
annual_growth,Accessions,2568.0,2019.0,,,,,,
annual_growth,Discovery participant instances,156666599.0,2019.0,,,,,,
annual_growth,Replication participant instances,26721112.0,2019.0,,,,,,
annual_growth,Cumulative publications,4633.0,2019.0,,,,,,
annual_growth,Cumulative accessions,16646.0,2019.0,,,,,,
annual_growth,Publications,540.0,2020.0,,,,,,
annual_growth,Accessions,3597.0,2020.0,,,,,,
annual_growth,Discovery participant instances,293081155.0,2020.0,,,,,,
annual_growth,Replication participant instances,24538863.0,2020.0,,,,,,
annual_growth,Cumulative publications,5173.0,2020.0,,,,,,
annual_growth,Cumulative accessions,20243.0,2020.0,,,,,,
annual_growth,Publications,687.0,2021.0,,,,,,
annual_growth,Accessions,29272.0,2021.0,,,,,,
annual_growth,Discovery participant instances,3989117185.0,2021.0,,,,,,
annual_growth,Replication participant instances,110039741.0,2021.0,,,,,,
annual_growth,Cumulative publications,5860.0,2021.0,,,,,,
annual_growth,Cumulative accessions,49515.0,2021.0,,,,,,
annual_growth,Publications,621.0,2022.0,,,,,,
annual_growth,Accessions,33229.0,2022.0,,,,,,
annual_growth,Discovery participant instances,829108112.0,2022.0,,,,,,
annual_growth,Replication participant instances,73500668.0,2022.0,,,,,,
annual_growth,Cumulative publications,6481.0,2022.0,,,,,,
annual_growth,Cumulative accessions,82744.0,2022.0,,,,,,
annual_growth,Publications,560.0,2023.0,,,,,,
annual_growth,Accessions,21185.0,2023.0,,,,,,
annual_growth,Discovery participant instances,720253109.0,2023.0,,,,,,
annual_growth,Replication participant instances,53919906.0,2023.0,,,,,,
annual_growth,Cumulative publications,7041.0,2023.0,,,,,,
annual_growth,Cumulative accessions,103929.0,2023.0,,,,,,
annual_growth,Publications,385.0,2024.0,,,,,,
annual_growth,Accessions,33355.0,2024.0,,,,,,
annual_growth,Discovery participant instances,2828981817.0,2024.0,,,,,,
annual_growth,Replication participant instances,41162072.0,2024.0,,,,,,
annual_growth,Cumulative publications,7426.0,2024.0,,,,,,
annual_growth,Cumulative accessions,137284.0,2024.0,,,,,,
annual_growth,Publications,239.0,2025.0,,,,,,
annual_growth,Accessions,62208.0,2025.0,,,,,,
annual_growth,Discovery participant instances,2617039289.0,2025.0,,,,,,
annual_growth,Replication participant instances,16052740.0,2025.0,,,,,,
annual_growth,Cumulative publications,7665.0,2025.0,,,,,,
annual_growth,Cumulative accessions,199492.0,2025.0,,,,,,
